	0
0	1.0
1	0.0270958574359351
2	0.05
3	66.13651421310826
4	2449752900187.1797
5	1.0
6	0.0270958574359351
7	0.05
8	66.13651421310826
9	2449752900187.1797
10	1.0
11	0.027733776528532487
12	0.05101010101010101
13	66.062255312493
14	2497442990604.74
15	1.0
16	0.028375388828000208
17	0.05202020202020202
18	65.98793116905054
19	2544957159385.66
20	1.0
21	0.02902070106299673
22	0.05303030303030303
23	65.9135414608467
24	2592288844523.08
25	1.0
26	0.02966971999967306
27	0.05404040404040404
28	65.83908586366151
29	2639431449274.58
30	1.0
31	0.03032245244207843
32	0.05505050505050505
33	65.76456405096616
34	2686378342251.3066
35	1.0
36	0.03097890523257126
37	0.05606060606060606
38	65.6899756938999
39	2733122857508.703
40	1.0
41	0.031639085252235716
42	0.05707070707070708
43	65.61532046124624
44	2779658294638.8184
45	1.0
46	0.03230299942130316
47	0.05808080808080808
48	65.54059801940919
49	2825977918864.1543
50	1.0
51	0.032970654699579445
52	0.0590909090909091
53	65.46580803238902
54	2872074961133.217
55	1.0
56	0.033642058086877646
57	0.0601010101010101
58	65.39095016175769
59	2917942618217.578
60	1.0
61	0.034317216623456305
62	0.061111111111111116
63	65.31602406663404
64	2963574052810.6445
65	1.0
66	0.03499613739046372
67	0.062121212121212126
68	65.24102940365854
69	3008962393627.9707
70	1.0
71	0.035678827510387756
72	0.06313131313131314
73	65.16596582696778
74	3054100735509.3086
75	1.0
76	0.0363652941475117
77	0.06414141414141414
78	65.09083298816857
79	3098982139522.1934
80	1.0
81	0.03705554450837633
82	0.06515151515151515
83	65.01563053631175
84	3143599633067.2793
85	1.0
86	0.03774958584224775
87	0.06616161616161617
88	64.94035811786556
89	3187946209985.289
90	1.0
91	0.03844742544159179
92	0.06717171717171717
93	64.86501537668869
94	3232014830665.6445
95	1.0
96	0.03914907064255451
97	0.06818181818181818
98	64.78960195400299
99	3275798422156.7715
100	1.0
101	0.03985452882544931
102	0.0691919191919192
103	64.7141174883658
104	3319289878278.1465
105	1.0
106	0.04056380741525041
107	0.07020202020202021
108	64.63856161564183
109	3362482059733.9355
110	1.0
111	0.04127691388209317
112	0.07121212121212121
113	64.5629339689747
114	3405367794228.494
115	1.0
116	0.04199385574178102
117	0.07222222222222223
118	64.48723417875819
119	3447939876583.4434
120	1.0
121	0.0427146405562995
122	0.07323232323232323
123	64.41146187260681
124	3490191068856.5547
125	1.0
126	0.04343927593433693
127	0.07424242424242425
128	64.33561667532636
129	3532114100462.3594
130	1.0
131	0.04416776953181261
132	0.07525252525252525
133	64.25969820888369
134	3573701668294.4746
135	1.0
136	0.04490012905241192
137	0.07626262626262627
138	64.18370609237633
139	3614946436849.7617
140	1.0
141	0.045636362248129045
142	0.07727272727272727
143	64.10763994200147
144	3655841038354.166
145	1.0
146	0.046376476919817035
147	0.07828282828282829
148	64.03149937102471
149	3696378072890.383
150	1.0
151	0.04712048091774556
152	0.0792929292929293
153	63.95528398974818
154	3736550108527.2812
155	1.0
156	0.047868382142166294
157	0.0803030303030303
158	63.87899340547837
159	3776349681451.201
160	1.0
161	0.04862018854388639
162	0.08131313131313131
163	63.80262722249341
164	3815769296098.9355
165	1.0
166	0.049375908124849884
167	0.08232323232323233
168	63.726185042009845
169	3854801425292.6367
170	1.0
171	0.05013554893872701
172	0.08333333333333334
173	63.64966646214914
174	3893438510376.5195
175	1.0
176	0.05089911909151235
177	0.08434343434343435
178	63.57307107790338
179	3931672961355.383
180	1.0
181	0.05166662674213101
182	0.08535353535353535
183	63.4963984811008
184	3969497157035.0
185	1.0
186	0.05243808010305351
187	0.08636363636363636
188	63.41964826037059
189	4006903445164.383
190	1.0
191	0.053213487440919506
192	0.08737373737373738
193	63.34282000110734
194	4043884142579.879
195	1.0
196	0.053992857077170234
197	0.08838383838383838
198	63.26591328543488
199	4080431535351.215
200	1.0
201	0.05477619738869027
202	0.08939393939393939
203	63.1889276921696
204	4116537878929.379
205	1.0
206	0.05556351680845843
207	0.0904040404040404
208	63.11186279678327
209	4152195398296.4062
210	1.0
211	0.056354823826207705
212	0.09141414141414142
213	63.03471817136537
214	4187396288117.125
215	1.0
216	0.05715012698909551
217	0.09242424242424244
218	62.95749338458464
219	4222132712892.871
220	1.0
221	0.05794943490238288
222	0.09343434343434344
223	62.88018800165038
224	4256396807116.9414
225	1.0
226	0.05875275623012418
227	0.09444444444444444
228	62.80280158427291
229	4290180675432.297
230	1.0
231	0.059560099695866384
232	0.09545454545454546
233	62.72533369062364
234	4323476392790.9844
235	1.0
236	0.06037147408335911
237	0.09646464646464648
238	62.647783875294365
239	4356276004615.621
240	1.0
241	0.06118688823727477
242	0.09747474747474748
243	62.57015168925609
244	4388571526962.953
245	1.0
246	0.06200635106393955
247	0.09848484848484848
248	62.4924366798172
249	4420354946689.234
250	1.0
251	0.06282987153207499
252	0.0994949494949495
253	62.41463839058102
254	4451618221617.824
255	1.0
256	0.06365745867355112
257	0.10050505050505051
258	62.33675636140261
